jointure,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,1er lot,Surface Carrez du 1er lot,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Arrondissement,id,commune,prefixe,section,numero,contenance,created,updated,coords,Prix_m2,Outlier,coords_X,coords_Y
75101000AL27,1,14/09/2020,Vente,1250000.0,23.0,PL,2594,DAUPHINE,75001.0,PARIS 01,75,101,000,AL,27,1,"62,50",1,2.0,Appartement,62.0,4.0,75101,75101000AL0027,75101,000,AL,27,147.0,2006-10-09,2016-07-21,"[651706.8328554494, 6862044.072548121]",20161.290322580644,False,651706.8328554494,6862044.072548121
75101000AL33,1,02/11/2020,Vente,1035000.0,29.0,PL,2594,DAUPHINE,75001.0,PARIS 01,75,101,000,AL,33,12,"43,71",1,2.0,Appartement,50.0,1.0,75101,75101000AL0033,75101,000,AL,33,104.0,2006-10-09,2016-07-21,"[651688.9965931154, 6862066.346058488]",20700.0,False,651688.9965931154,6862066.346058488
75101000AN17,1,07/07/2020,Vente,950000.0,57.0,RUE,8249,DE RIVOLI,75001.0,PARIS 01,75,101,000,AN,17,14,"117,44",1,2.0,Appartement,118.0,4.0,75101,75101000AN0017,75101,000,AN,17,244.0,2006-10-09,2016-07-21,"[652003.8715175325, 6862316.373279403]",8050.847457627118,False,652003.8715175325,6862316.373279403
75101000AN31,1,08/10/2020,Vente,300000.0,9.0,RUE,6921,DES ORFEVRES,75001.0,PARIS 01,75,101,000,AN,31,2,"28,53",1,2.0,Appartement,27.0,1.0,75101,75101000AN0031,75101,000,AN,31,111.0,2006-10-09,2016-07-21,"[651955.9218848009, 6862261.051503268]",11111.111111111111,False,651955.9218848009,6862261.051503268
75101000AN72,1,23/12/2020,Vente,770000.0,7.0,BD,8894,DE SEBASTOPOL,75001.0,PARIS 01,75,101,000,AN,72,17,"52,63",1,2.0,Appartement,59.0,2.0,75101,75101000AN0072,75101,000,AN,72,308.0,2006-10-09,2016-07-21,"[652144.5212970254, 6862242.921886223]",13050.847457627118,False,652144.5212970254,6862242.921886223
75101000AN73,1,27/02/2020,Vente,480000.0,5.0,BD,8894,DE SEBASTOPOL,75001.0,PARIS 01,75,101,000,AN,73,8,,1,2.0,Appartement,65.0,3.0,75101,75101000AN0073,75101,000,AN,73,197.0,2006-10-09,2016-07-21,"[652138.2356310192, 6862231.349470227]",7384.615384615385,False,652138.2356310192,6862231.349470227
75101000AN94,1,10/03/2020,Vente,320000.0,13.0,RUE,8623,SAINT GERMAIN L AUXERROIS,75001.0,PARIS 01,75,101,000,AN,94,5,"24,34",1,2.0,Appartement,22.0,2.0,75101,75101000AN0094,75101,000,AN,94,45.0,2006-10-09,2016-07-21,"[651929.0844508159, 6862220.1048790645]",14545.454545454546,False,651929.0844508159,6862220.1048790645
75101000AN94,1,29/06/2020,Vente,320000.0,13.0,RUE,8623,SAINT GERMAIN L AUXERROIS,75001.0,PARIS 01,75,101,000,AN,94,3,"25,14",1,2.0,Appartement,22.0,2.0,75101,75101000AN0094,75101,000,AN,94,45.0,2006-10-09,2016-07-21,"[651929.0844508159, 6862220.1048790645]",14545.454545454546,False,651929.0844508159,6862220.1048790645
75101000AO1,1,30/04/2020,Vente,653850.0,2.0,RUE,8635,SAINT HONORE,75001.0,PARIS 01,75,101,000,AO,1,100241,"63,08",1,2.0,Appartement,66.0,2.0,75101,75101000AO0001,75101,000,AO,1,17718.0,2006-10-09,2016-07-21,"[651998.2646310688, 6862525.811845112]",9906.818181818182,False,651998.2646310688,6862525.811845112
75101000AO1,1,23/10/2020,Vente,880794.0,23.0,RUE,0885,BERGER,75001.0,PARIS 01,75,101,000,AO,1,100205,,1,2.0,Appartement,56.0,2.0,75101,75101000AO0001,75101,000,AO,1,17718.0,2006-10-09,2016-07-21,"[651998.2646310688, 6862525.811845112]",15728.464285714286,False,651998.2646310688,6862525.811845112
75101000AO126,1,06/10/2020,Vente,741810.0,14.0,RUE,7619,DU PONT NEUF,75001.0,PARIS 01,75,101,000,AO,126,30,"55,76",1,2.0,Appartement,55.0,3.0,75101,75101000AO0126,75101,000,AO,126,291.0,2006-10-09,2016-07-21,"[651902.2281559437, 6862429.007159924]",13487.454545454546,False,651902.2281559437,6862429.007159924
75101000AO139,1,13/11/2020,Vente,714420.0,35.0,RUE,8635,SAINT-HONORE,75001.0,PARIS 01,75,101,000,AO,139,15,"67,98",1,2.0,Appartement,85.0,2.0,75101,75101000AO0139,75101,000,AO,139,72.0,2006-10-09,2016-07-21,"[651984.9482498909, 6862488.504029831]",8404.941176470587,False,651984.9482498909,6862488.504029831
75101000AO142,1,11/05/2020,Vente,370000.0,41.0,RUE,8635,SAINT HONORE,75001.0,PARIS 01,75,101,000,AO,142,108,"27,69",1,2.0,Appartement,30.0,1.0,75101,75101000AO0142,75101,000,AO,142,90.0,2006-10-09,2016-07-21,"[651975.322300399, 6862495.272825613]",12333.333333333334,False,651975.322300399,6862495.272825613
75101000AO19,1,13/07/2020,Vente,331990.0,36.0,RUE,8525,SAINT DENIS,75001.0,PARIS 01,75,101,000,AO,19,12,"26,38",1,2.0,Appartement,32.0,1.0,75101,75101000AO0019,75101,000,AO,19,86.0,2006-10-09,2016-07-21,"[652207.3450015265, 6862446.211126603]",10374.6875,False,652207.3450015265,6862446.211126603
75101000AO28,1,27/11/2020,Vente,321500.0,44.0,RUE,5738,DES LOMBARDS,75001.0,PARIS 01,75,101,000,AO,28,8,"28,32",1,2.0,Appartement,28.0,1.0,75101,75101000AO0028,75101,000,AO,28,71.0,2006-10-09,2016-07-21,"[652200.7523224314, 6862384.564550126]",11482.142857142857,False,652200.7523224314,6862384.564550126
75101000AO43,1,24/09/2020,Vente,770000.0,2.0,RUE,4461,DES HALLES,75001.0,PARIS 01,75,101,000,AO,43,19,,1,2.0,Appartement,41.0,3.0,75101,75101000AO0043,75101,000,AO,43,243.0,2006-10-09,2016-07-21,"[652125.883821388, 6862326.145578338]",18780.48780487805,False,652125.883821388,6862326.145578338
75101000AO52,1,18/12/2020,Vente,345000.0,6.0,PL,8589,SAINTE OPPORTUNE,75001.0,PARIS 01,75,101,000,AO,52,8,"45,66",1,2.0,Appartement,44.0,2.0,75101,75101000AO0052,75101,000,AO,52,122.0,2006-10-09,2016-07-21,"[652127.247577431, 6862364.930875187]",7840.909090909091,False,652127.247577431,6862364.930875187
75101000AO53,1,04/09/2020,Vente,229245.0,19.0,RUE,8525,SAINT-DENIS,75001.0,PARIS 01,75,101,000,AO,53,4,"16,17",1,2.0,Appartement,18.0,1.0,75101,75101000AO0053,75101,000,AO,53,61.0,2006-10-09,2016-07-21,"[652139.8884315214, 6862357.454724541]",12735.833333333334,False,652139.8884315214,6862357.454724541
75101000AO73,1,17/02/2020,Vente,429000.0,13.0,RUE,3621,DE LA FERRONNERIE,75001.0,PARIS 01,75,101,000,AO,73,33,"31,91",1,2.0,Appartement,32.0,1.0,75101,75101000AO0073,75101,000,AO,73,178.0,2006-10-09,2016-07-21,"[652128.6010070116, 6862427.475129742]",13406.25,False,652128.6010070116,6862427.475129742
75101000AO73,1,07/05/2020,Vente,102500.0,13.0,RUE,3621,DE LA FERRONNERIE,75001.0,PARIS 01,75,101,000,AO,73,9,"8,59",1,2.0,Appartement,9.0,1.0,75101,75101000AO0073,75101,000,AO,73,178.0,2006-10-09,2016-07-21,"[652128.6010070116, 6862427.475129742]",11388.888888888889,False,652128.6010070116,6862427.475129742
75101000AO79,1,27/05/2020,Vente,550000.0,1.0,RUE,4718,DES INNOCENTS,75001.0,PARIS 01,75,101,000,AO,79,84,"39,70",1,2.0,Appartement,42.0,2.0,75101,75101000AO0079,75101,000,AO,79,258.0,2006-10-09,2016-07-21,"[652176.7706489309, 6862448.123327699]",13095.238095238095,False,652176.7706489309,6862448.123327699
75101000AO86,1,07/05/2020,Vente,180501.0,20.0,RUE,4461,DES HALLES,75001.0,PARIS 01,75,101,000,AO,86,13,"24,50",1,2.0,Appartement,24.0,1.0,75101,75101000AO0086,75101,000,AO,86,116.0,2006-10-09,2016-07-21,"[652069.3564922006, 6862424.099025967]",7520.875,False,652069.3564922006,6862424.099025967
75101000AP50,1,11/06/2020,Vente,720000.0,89.0,RUE,8525,SAINT DENIS,75001.0,PARIS 01,75,101,000,AP,50,20,"52,44",1,2.0,Appartement,53.0,2.0,75101,75101000AP0050,75101,000,AP,50,186.0,2006-10-10,2016-07-21,"[652247.5081349041, 6862646.783979248]",13584.905660377359,False,652247.5081349041,6862646.783979248
75101000AP52,1,28/09/2020,Vente,644000.0,77.0,RUE,8009,RAMBUTEAU,75001.0,PARIS 01,75,101,000,AP,52,11,"54,79",1,2.0,Appartement,52.0,2.0,75101,75101000AP0052,75101,000,AP,52,697.0,2006-10-10,2016-07-21,"[652286.9473103741, 6862634.645582652]",12384.615384615385,False,652286.9473103741,6862634.645582652
75101000AP64,1,17/01/2020,Vente,490566.0,37.0,BD,8894,DE SEBASTOPOL,75001.0,PARIS 01,75,101,000,AP,64,31,"40,18",1,2.0,Appartement,39.0,2.0,75101,75101000AP0064,75101,000,AP,64,2194.0,2006-10-10,2016-07-21,"[652242.0237778525, 6862525.985381502]",12578.615384615385,False,652242.0237778525,6862525.985381502
75101000AQ108,1,31/03/2020,Vente,444800.0,28.0,RUE,7455,PIERRE LESCOT,75001.0,PARIS 01,75,101,000,AQ,108,31,"40,22",1,2.0,Appartement,48.0,2.0,75101,75101000AQ0108,75101,000,AQ,108,400.0,2006-10-10,2016-07-21,"[652256.3208359879, 6862788.924032205]",9266.666666666666,False,652256.3208359879,6862788.924032205
75101000AQ108,1,15/12/2020,Vente,355000.0,28.0,RUE,7455,PIERRE LESCOT,75001.0,PARIS 01,75,101,000,AQ,108,19,,1,2.0,Appartement,30.0,2.0,75101,75101000AQ0108,75101,000,AQ,108,400.0,2006-10-10,2016-07-21,"[652256.3208359879, 6862788.924032205]",11833.333333333334,False,652256.3208359879,6862788.924032205
75101000AQ11,1,22/05/2020,Vente,711500.0,18.0,RUE,6513,MONTMARTRE,75001.0,PARIS 01,75,101,000,AQ,11,58,"52,79",1,2.0,Appartement,53.0,4.0,75101,75101000AQ0011,75101,000,AQ,11,493.0,2006-10-10,2016-07-21,"[652026.7429933131, 6862861.763659821]",13424.528301886792,False,652026.7429933131,6862861.763659821
75101000AQ115,1,11/09/2020,Vente,461099.0,104.0,RUE,8525,SAINT-DENIS,75001.0,PARIS 01,75,101,000,AQ,115,4,"35,62",1,2.0,Appartement,38.0,2.0,75101,75101000AQ0115,75101,000,AQ,115,85.0,2006-10-10,2016-07-21,"[652317.8155953635, 6862799.747036506]",12134.184210526315,False,652317.8155953635,6862799.747036506
75101000AQ12,1,01/09/2020,Vente,200000.0,16.0,RUE,6513,MONTMARTRE,75001.0,PARIS 01,75,101,000,AQ,12,32,"15,40",1,2.0,Appartement,17.0,1.0,75101,75101000AQ0012,75101,000,AQ,12,239.0,2006-10-10,2016-07-21,"[652019.8206880883, 6862849.3052474]",11764.70588235294,False,652019.8206880883,6862849.3052474
75101000AQ123,1,05/10/2020,Vente,300000.0,61.0,BD,8894,DE SEBASTOPOL,75001.0,PARIS 01,75,101,000,AQ,123,15,"27,15",1,2.0,Appartement,30.0,1.0,75101,75101000AQ0123,75101,000,AQ,123,308.0,2006-10-10,2016-07-21,"[652340.1273332164, 6862767.103693417]",10000.0,False,652340.1273332164,6862767.103693417
75101000AQ148,1,15/01/2020,Vente,490000.0,15.0,RUE,4278,DE LA GRANDE TRUANDERIE,75001.0,PARIS 01,75,101,000,AQ,148,14,,1,2.0,Appartement,41.0,2.0,75101,75101000AQ0148,75101,000,AQ,148,754.0,2006-10-10,2016-07-21,"[652230.4465395114, 6862708.770641269]",11951.219512195123,False,652230.4465395114,6862708.770641269
75101000AQ148,1,24/09/2020,Vente,362335.0,18.0,RUE,7455,PIERRE LESCOT,75001.0,PARIS 01,75,101,000,AQ,148,48,"25,09",1,2.0,Appartement,25.0,1.0,75101,75101000AQ0148,75101,000,AQ,148,754.0,2006-10-10,2016-07-21,"[652230.4465395114, 6862708.770641269]",14493.4,False,652230.4465395114,6862708.770641269
75101000AQ151,1,30/12/2020,Vente,380000.0,8.0,RUE,7332,DE LA PETITE TRUANDERIE,75001.0,PARIS 01,75,101,000,AQ,151,6,"32,45",1,2.0,Appartement,33.0,1.0,75101,75101000AQ0151,75101,000,AQ,151,67.0,2006-10-10,2016-07-21,"[652193.1623421485, 6862720.482316235]",11515.151515151516,False,652193.1623421485,6862720.482316235
75101000AQ47,1,27/02/2020,Vente,542000.0,32.0,RUE,6520,MONTORGUEIL,75001.0,PARIS 01,75,101,000,AQ,47,46,"42,11",1,2.0,Appartement,31.0,3.0,75101,75101000AQ0047,75101,000,AQ,47,437.0,2006-10-10,2016-07-21,"[652075.9650861011, 6862839.89880915]",17483.870967741936,False,652075.9650861011,6862839.89880915
75101000AQ50,1,16/06/2020,Vente,390000.0,26.0,RUE,6520,MONTORGUEIL,75001.0,PARIS 01,75,101,000,AQ,50,10,"36,04",1,2.0,Appartement,40.0,2.0,75101,75101000AQ0050,75101,000,AQ,50,133.0,2006-10-10,2016-07-21,"[652067.9762353313, 6862819.028807054]",9750.0,False,652067.9762353313,6862819.028807054
75101000AQ6,1,15/09/2020,Vente,260000.0,28.0,RUE,6513,MONTMARTRE,75001.0,PARIS 01,75,101,000,AQ,6,8,"23,72",1,2.0,Appartement,25.0,1.0,75101,75101000AQ0006,75101,000,AQ,6,72.0,2006-10-10,2016-07-21,"[651992.1544518698, 6862894.940778278]",10400.0,False,651992.1544518698,6862894.940778278
75101000AQ62,1,23/07/2020,Vente,904800.0,4.0,RUE,3779,FRANCAISE,75001.0,PARIS 01,75,101,000,AQ,62,4,"90,48",1,2.0,Appartement,96.0,3.0,75101,75101000AQ0062,75101,000,AQ,62,178.0,2006-10-10,2016-07-21,"[652147.0411376349, 6862845.554279588]",9425.0,False,652147.0411376349,6862845.554279588
75101000AQ7,1,07/02/2020,Vente,238200.0,26.0,RUE,6513,MONTMARTRE,75001.0,PARIS 01,75,101,000,AQ,7,14,"22,54",1,2.0,Appartement,24.0,2.0,75101,75101000AQ0007,75101,000,AQ,7,378.0,2006-10-10,2016-07-21,"[652011.9918815362, 6862886.111772712]",9925.0,False,652011.9918815362,6862886.111772712
75101000AQ7,1,03/06/2020,Vente,265000.0,26.0,RUE,6513,MONTMARTRE,75001.0,PARIS 01,75,101,000,AQ,7,25,"19,18",1,2.0,Appartement,20.0,1.0,75101,75101000AQ0007,75101,000,AQ,7,378.0,2006-10-10,2016-07-21,"[652011.9918815362, 6862886.111772712]",13250.0,False,652011.9918815362,6862886.111772712
75101000AQ7,1,04/11/2020,Vente,349000.0,26.0,RUE,6513,MONTMARTRE,75001.0,PARIS 01,75,101,000,AQ,7,44,"24,30",1,2.0,Appartement,28.0,1.0,75101,75101000AQ0007,75101,000,AQ,7,378.0,2006-10-10,2016-07-21,"[652011.9918815362, 6862886.111772712]",12464.285714285714,False,652011.9918815362,6862886.111772712
75101000AQ85,1,28/05/2020,Vente,750000.0,18.0,RUE,4278,DE LA GRANDE TRUANDERIE,75001.0,PARIS 01,75,101,000,AQ,85,8,"61,74",1,2.0,Appartement,61.0,2.0,75101,75101000AQ0085,75101,000,AQ,85,136.0,2006-10-10,2016-07-21,"[652234.6220886417, 6862747.49822857]",12295.081967213115,False,652234.6220886417,6862747.49822857
75101000AQ95,1,21/02/2020,Vente,625000.0,119.0,RUE,8525,SAINT DENIS,75001.0,PARIS 01,75,101,000,AQ,95,31,,1,2.0,Appartement,52.0,3.0,75101,75101000AQ0095,75101,000,AQ,95,606.0,2006-10-10,2016-07-21,"[652252.0474606537, 6862753.400633082]",12019.23076923077,False,652252.0474606537,6862753.400633082
75101000AQ95,1,17/07/2020,Vente,593000.0,119.0,RUE,8525,SAINT DENIS,75001.0,PARIS 01,75,101,000,AQ,95,12,"51,80",1,2.0,Appartement,51.0,1.0,75101,75101000AQ0095,75101,000,AQ,95,606.0,2006-10-10,2016-07-21,"[652252.0474606537, 6862753.400633082]",11627.450980392157,False,652252.0474606537,6862753.400633082
75101000AR10,1,01/07/2020,Vente,270000.0,9.0,RUE,4619,HEROLD,75001.0,PARIS 01,75,101,000,AR,10,5,"23,05",1,2.0,Appartement,27.0,2.0,75101,75101000AR0010,75101,000,AR,10,66.0,2006-10-10,2016-07-21,"[651677.0410776678, 6862964.25051737]",10000.0,False,651677.0410776678,6862964.25051737
75101000AR10,1,02/12/2020,Vente,267000.0,9.0,RUE,4619,HEROLD,75001.0,PARIS 01,75,101,000,AR,10,7,,1,2.0,Appartement,29.0,1.0,75101,75101000AR0010,75101,000,AR,10,66.0,2006-10-10,2016-07-21,"[651677.0410776678, 6862964.25051737]",9206.896551724138,False,651677.0410776678,6862964.25051737
75101000AR105,1,26/06/2020,Vente,365000.0,15.0,RUE,5033,DU JOUR,75001.0,PARIS 01,75,101,000,AR,105,10,"25,04",1,2.0,Appartement,25.0,2.0,75101,75101000AR0105,75101,000,AR,105,273.0,2006-10-10,2016-07-21,"[651901.2372614212, 6862841.363652347]",14600.0,False,651901.2372614212,6862841.363652347
